Model,Feature Set,Accuracy,F1-weighted,F1-macro,Precision-weighted,Recall-weighted,ROC-AUC-OVR
Logistic Regression,Behavioral,0.8,0.8,0.8518518518518517,0.8,0.8,0.9227272727272726
Logistic Regression,Psychological,0.5,0.4821428571428571,0.35714285714285715,0.4821428571428571,0.5,0.5767676767676768
Logistic Regression,Combined,0.95,0.94984520123839,0.9628482972136223,0.9550000000000001,0.95,1.0
Decision Tree,Behavioral,0.65,0.6454605263157894,0.6855263157894737,0.6580952380952381,0.65,0.6994949494949495
Decision Tree,Psychological,0.4,0.4117647058823529,0.30501089324618735,0.425,0.4,0.5075757575757576
Decision Tree,Combined,0.55,0.5517647058823529,0.5124183006535947,0.5583333333333333,0.55,0.6262626262626263
Random Forest,Behavioral,0.75,0.7482456140350877,0.7270955165692007,0.765,0.75,0.8568181818181817
Random Forest,Psychological,0.45,0.4617647058823529,0.3420479302832244,0.475,0.45,0.5723484848484849
Random Forest,Combined,0.75,0.7105263157894737,0.5263157894736842,0.675,0.75,0.8808080808080808
